condition,amplitude,w_inter,trial_idx,seed,ref_amplitude,end_val_normalized
WT_APP,15.0,8.0,18,2121403537,0.44487545305389437,1.4030447310944467
WT_APP,15.0,8.0,19,347016859,0.4791043344433124,1.4030447310944467
WT_APP,15.0,8.0,20,527842052,0.44142465465029695,1.4030447310944467
WT_APP,15.0,8.0,21,215409799,0.45692446515926727,1.4030447310944467
WT_APP,15.0,8.0,22,350632298,0.48372289617350533,1.4030447310944467
WT_APP,15.0,8.0,23,2071774379,0.4563753522473338,1.4030447310944467
WT_APP,15.0,8.0,24,1492822048,0.4823160967707414,1.4030447310944467
WT_APP,15.0,8.0,25,199233221,0.45596242370604656,1.4030447310944467
WT_APP,15.0,8.0,26,1395966768,0.4850749534381125,1.4030447310944467
WT_APP,15.0,8.0,27,786556690,0.46406319654494593,1.4030447310944467
WT_APP,15.0,8.0,28,649984770,0.47225740139904476,1.4030447310944467
WT_APP,15.0,8.0,29,337723248,0.48002406677855647,1.4030447310944467
WT_APP,15.0,8.0,30,1094264184,0.45408920739023906,1.4030447310944467
WT_APP,15.0,8.0,31,2089154132,0.4200437949315012,1.4030447310944467
WT_APP,15.0,8.0,32,1584690825,0.4549140603469484,1.4030447310944467
WT_APP,15.0,8.0,33,795962858,0.4763247470269382,1.4030447310944467
WT_APP,15.0,8.0,34,827737825,0.44012364419800515,1.4030447310944467
WT_APP,15.0,8.0,35,234713593,0.47810903999821724,1.4030447310944467
WT_APP,15.0,8.0,36,885327366,0.44176984211135073,1.4030447310944467
WT_APP,15.0,8.0,37,928832081,0.4539536046104508,1.4030447310944467
WT_APP,15.0,8.0,38,1947615286,0.4693959039913078,1.4030447310944467
WT_APP,15.0,8.0,39,20360091,0.45882195409109683,1.4030447310944467
WT_APP,15.0,8.0,40,1806363173,0.44302121991747334,1.4030447310944467
WT_APP,15.0,8.0,41,1312343691,0.44478302518797086,1.4030447310944467
WT_APP,15.0,8.0,42,1762120781,0.4754389067332434,1.4030447310944467
WT_APP,15.0,8.0,43,1700607009,0.46571939369252646,1.4030447310944467
WT_APP,15.0,8.0,44,1634649145,0.46752400487465323,1.4030447310944467
WT_APP,15.0,8.0,45,1036024353,0.4810377590359889,1.4030447310944467
WT_APP,15.0,8.0,46,261494503,0.4501247749327007,1.4030447310944467
WT_APP,15.0,8.0,47,2001682155,0.4170834283701684,1.4030447310944467
WT_APP,15.0,8.0,48,1311960750,0.4580728103980439,1.4030447310944467
WT_APP,15.0,8.0,49,295114914,0.476961256065513,1.4030447310944467
WT_APP,20.0,8.0,0,1168784116,0.48589314476598006,1.2502378737804007
WT_APP,20.0,8.0,1,921289450,0.4862494814242122,1.2502378737804007
WT_APP,20.0,8.0,2,1293255992,0.49528628943485636,1.2502378737804007
WT_APP,20.0,8.0,3,1702858716,0.500767296108701,1.2502378737804007
WT_APP,20.0,8.0,4,1895310323,0.48302453972497317,1.2502378737804007
WT_APP,20.0,8.0,5,211694680,0.4859433700602071,1.2502378737804007
WT_APP,20.0,8.0,6,280584697,0.47404283262587216,1.2502378737804007
WT_APP,20.0,8.0,7,617447500,0.46346712154088543,1.2502378737804007
WT_APP,20.0,8.0,8,1249765968,0.4578198421121356,1.2502378737804007
WT_APP,20.0,8.0,9,1504658074,0.5204826786011101,1.2502378737804007
WT_APP,20.0,8.0,10,1008898872,0.49778271197827506,1.2502378737804007
WT_APP,20.0,8.0,11,794319243,0.48668785302613976,1.2502378737804007
WT_APP,20.0,8.0,12,204008863,0.48193487384683914,1.2502378737804007
WT_APP,20.0,8.0,13,1880439445,0.4856511215012997,1.2502378737804007
WT_APP,20.0,8.0,14,1306372712,0.4787508066165465,1.2502378737804007
WT_APP,20.0,8.0,15,2122084012,0.478215400146027,1.2502378737804007
